disease,description,symptoms,causes,treatment,medications,diagnosis,prevention,complications,when_to_see_doctor,source_url,source_name,last_updated
Hypoglycemia,"Blood glucose, or blood sugar, is the main sugar found in your blood. It is your bodys primary source of energy. It comes from the food you eat. Your body breaks down most of that food into glucose and releases it into your bloodstream. When your blood glucose goes up, it signals your pancreas to release insulin. Insulin is a hormone that helps the glucose get into your cells to be used for energy. For people withdiabetes, your body doesnt make enough insulin, cant use it as well as it should, or both. Too much glucose stays in your blood and doesnt reach your cells. Hypoglycemia means low glucose. It happens when the level of glucose in your blood drops below what is healthy for you:","The symptoms of low blood glucose tend to come on quickly. The symptoms can be different for everyone, but they may include: • Shaking • Sweating • Nervousness or anxiety • Irritability or confusion • Dizziness • Hunger","Hypoglycemia is common in people who havediabetes type 1or who havediabetes type 2and take insulin or otherdiabetes medicines. It can happen: • As a side effect of insulin or some other medicines that help your pancreas release insulin into your blood. These medicines can lower your blood glucose level. • If you dont eat or drink enoughcarbohydrates(carbs). Carbs are the main source of glucose for your body. • If you get a lot more physical activity than usual. • If you drink too much alcohol without enough food. • When you are sick and cant eat enough food or keep food down. Although its rare, you can still get low blood glucose without having diabetes. The causes can include conditions such asliver disease,kidney disease, andhormonedeficiencies (lack of certain hormones). It can also happen in people who have had certain types ofweight loss surgery. Some medicines, such as certain heart medicines andantibiotics, can also cause it. See your health care provider to find out the cause of your low blood glucose and how to treat it.","If you have mild or moderate hypoglycemia, eating or drinking something with carbohydrates can help. But severe hypoglycemia can cause serious complications, including passing out, coma, or even death. Severe hypoglycemia can be treated with glucagon, a hormone that raises blood glucose levels. It can be given as nasal spray or injection. If you have diabetes, your provider can prescribe you a glucagon kit for use in case of an emergency. If you have diabetes and you often have mild or moderate low blood glucose, your health care team may make changes to yourdiabetes meal plan, physical activity plan, and/or diabetes medicines. If you dont have diabetes and you keep having low blood glucose, the treatment will depend on what is causing it to happen.","If you have diabetes and you often have mild or moderate low blood glucose, your health care team may make changes to yourdiabetes meal plan, physical activity plan, and/or diabetes medicines.","If you have diabetes, youll most likely need to check your blood glucose every day and make sure that its not too low. You can do this with a blood glucose meter or continuous glucose monitoring (CGM) system. There are alsoblood teststhat providers can use to check if your blood glucose is too low. If you dont have diabetes and you have hypoglycemia, your provider will likely order other tests to try to figure out the cause.","If you have diabetes and you take insulin or other medicines that lower blood glucose, you can help prevent hypoglycemia if you: • Follow your diabetes meal plan. Eat and drink enough carbs to keep your blood glucose in your target range. Also carry a source of fast-acting carbohydrate, such as glucose tablets or a juice box, with you in case your blood glucose gets too low. • Be safe during physical activity. Check your blood glucose before and afterwards. You may need to eat a snack before your physical activity. • If you take diabetes medicines, make sure to take them correctly.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/hypoglycemia.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Hypothyroidism,"Hypothyroidism, or underactive thyroid, happens when your thyroid gland doesnt make enough thyroid hormones to meet your bodys needs. Yourthyroidis a small, butterfly-shaped gland in the front of your neck. It makes hormones that control the way the body uses energy. These hormones affect nearly every organ in your body and control many of your bodys most important functions. For example, they affect your breathing, heart rate, weight, digestion, and moods. Without enough thyroid hormones, many of your bodys functions slow down. But there are treatments that can help. Hypothyroidism has several causes. They include:","The symptoms of hypothyroidism can vary from person to person and may include: • Fatigue • Weight gain • A puffy face • Trouble tolerating cold • Joint and muscle pain • Constipation • Dry skin • Dry, thinning hair • Decreased sweating • Heavy or irregularmenstrual periods • Fertility problems in women • Depression • Slowed heart rate • Goiter, an enlarged thyroid that may cause your neck to look swollen. Sometimes it can cause trouble with breathing or swallowing. Because hypothyroidism develops slowly, many people dont notice symptoms of the disease for months or even years.","Hypothyroidism has several causes. They include: • Hashimotos disease, an autoimmune disorder where your immune system attacks your thyroid. This is the most common cause. • Thyroiditis, inflammation of the thyroid • Congenital hypothyroidism, hypothyroidism that is present at birth • Surgical removal of part or all of the thyroid • Radiation treatmentof the thyroid • Certain medicines • In rare cases, apituitary diseaseor too much or too little iodine in your diet Hypothyroidism can contribute tohigh cholesterol. In rare cases, untreated hypothyroidism can cause myxedema coma. This is a condition in which your bodys functions slow down to the point that it becomes life-threatening. During pregnancy, hypothyroidism can causecomplications, such aspremature birth,high blood pressure in pregnancy, andmiscarriage. It can also slow the babysgrowth and development.","The treatment for hypothyroidism is medicine to replace the hormone that your own thyroid can no longer make. About 6 to 8 weeks after you start taking the medicine, you will get a blood test to check your thyroid hormone level. Your health care provider will adjust your dose if needed. Each time your dose is adjusted, youll have another blood test. Once you find the right dose, you will probably get a blood test in 6 months. After that, you will need the test once a year. If you take your medicine according to the instructions, you usually should be able to control the hypothyroidism. You should never stop taking your medicine without talking with your health care provider first. If you have Hashimotos disease or other types of autoimmune thyroid disorders, you may be sensitive to harmful side effects from iodine. Talk to your health care provider about which foods, supplements, and medicines you need to avoid. Women need more iodine when they are pregnant because the baby gets iodine from the mothers diet. If you are pregnant, talk with your health care provider about how much iodine you need. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","The treatment for hypothyroidism is medicine to replace the hormone that your own thyroid can no longer make. About 6 to 8 weeks after you start taking the medicine, you will get a blood test to check your thyroid hormone level. If you take your medicine according to the instructions, you usually should be able to control the hypothyroidism.","Your health care provider may use many tools to make a diagnosis: • A medical history, including asking about your symptoms • A physical exam • Thyroid tests, such asTSH,T3,T4, andthyroid antibody blood testsImaging tests, such as a thyroid scan,ultrasound, or radioactive iodine uptake test. A radioactive iodine uptake test measures how much radioactive iodine your thyroid takes up from your blood after you swallow a small amount of it. • TSH,T3,T4, andthyroid antibody blood tests • Imaging tests, such as a thyroid scan,ultrasound, or radioactive iodine uptake test. A radioactive iodine uptake test measures how much radioactive iodine your thyroid takes up from your blood after you swallow a small amount of it.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/hypothyroidism.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Impetigo,"Impetigo is a skin infection caused by bacteria. It is usually caused bystaphylococcal(staph) bacteria, but it can also be caused bystreptococcal(strep) bacteria. It is most common in children between the ages of two and six. It usually starts when bacteria get into a break in the skin, such as a cut, scratch, or insect bite. Symptoms start with red or pimple-like sores surrounded by red skin. These sores can be anywhere, but usually they occur on your face, arms and legs. The sores fill with pus, then break open after a few days and form a thick crust. They are often itchy, but scratching them can spread the sores. Impetigo can spread by contact with sores or nasal discharge from an infected person. You can treat impetigo with antibiotics.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/impetigo.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Jaundice,"Jaundice causes your skin and the whites of your eyes to turn yellow. Too much bilirubin causes jaundice. Bilirubin is a yellow chemical in hemoglobin, the substance that carries oxygen in your red blood cells. As red blood cells break down, your body builds new cells to replace them. The old ones are processed by the liver. If the liver cannot handle the blood cells as they break down, bilirubin builds up in the body and your skin may look yellow. Many healthy babies have some jaundice during the first week of life. It usually goes away. However, jaundice can happen at any age and may be a sign of a problem. Jaundice can happen for many reasons, such as:",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/jaundice.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Malaria,"Malaria is a serious disease caused by a parasite. You get it when an infectedmosquitobites you. Malaria is a major cause of death worldwide, but it is almost wiped out in the United States. The disease is mostly a problem in developing countries with warm climates. If youtravelto these countries, you are at risk. There are four different types of malaria caused by four related parasites. The most deadly type occurs in Africa south of the Sahara Desert. Malaria symptoms include chills, flu-like symptoms, fever, vomiting, diarrhea, and jaundice. A blood test can diagnose it. It can be life-threatening. However, you can treat malaria with drugs. The type of drug depends on which kind of malaria you have and where you were infected. Malaria can be prevented. When traveling to areas where malaria is found:",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/malaria.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Migraine,"Migraines are a recurring type of headache. They cause moderate to severe pain that is throbbing or pulsing. The pain is often on one side of your head. You may also have other symptoms, such as nausea and weakness. You may be sensitive to light and sound. Researchers believe that migraine has a genetic cause. There are also a number of factors that can trigger a migraine. These factors vary from person to person, and they include: Some people have found that certain foods or ingredients can trigger headaches, especially when they are combined with other triggers. These foods and ingredients include:","There are four different phases of migraines. You may not always go through every phase each time you have a migraine.: • Prodome.This phase starts up to 24 hours before you get the migraine. You have early signs and symptoms, such as food cravings, unexplained mood changes, uncontrollable yawning, fluid retention, and increased urination. • Aura.If you have this phase, you might see flashing or bright lights or zig-zag lines. You may have muscle weakness or feel like you are being touched or grabbed. An aura can happen just before or during a migraine. • Headache.A migraine usually starts gradually and then becomes more severe. It typically causes throbbing or pulsing pain, which is often on one side of your head. But sometimes you can have a migraine without a headache. Other migraine symptoms may include • Increased sensitivity to light, noise, and odors • Nausea and vomiting • Worsened pain when you move, cough, or sneeze • Postdrome(following the headache). You may feel exhausted, weak, and confused after a migraine. This can last up to a day. Migraines are more common in the morning; people often wake up with them. Some people have migraines at predictable times, such as before menstruation or on weekends following a stressful week of work.","Researchers believe that migraine has a genetic cause. There are also a number of factors that can trigger a migraine. These factors vary from person to person, and they include: • Stress • Anxiety • Hormonal changes in women • Bright or flashing lights • Loud noises • Strong smells • Medicines • Too much or not enough sleep • Sudden changes in weather or environment • Overexertion (too much physical activity) • Tobacco • Caffeineor caffeine withdrawal • Skipped meals • Medication overuse (taking medicine for migraines too often) Some people have found that certain foods or ingredients can trigger headaches, especially when they are combined with other triggers. These foods and ingredients include: • Alcohol • Chocolate • Aged cheeses • Monosodium glutamate (MSG) • Some fruits and nuts • Fermented or pickled goods • Yeast • Cured or processed meats",Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,"To make a diagnosis, your health care provider will: • Take your medical history • Ask about your symptoms • Do a physical and neurological exam An important part of diagnosing migraines is to rule out other medical conditions which could be causing the symptoms. So you may also have blood tests, anMRIorCTscan, or other tests.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/migraine.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Osteoarthristis,"Osteoarthritis, sometimes called OA, is a type ofarthritisthat only affects the joints, usually in the hands, knees, hips, neck, and lower back. Its the most common type of arthritis. In a healthy joint, the ends of the bones are covered with a smooth, slippery tissue called cartilage. The cartilage pads the bones and helps them glide easily when you move the joint. With osteoarthritis, the cartilage breaks down and becomes rough. Sometimes, all the cartilage wears away and the bones rub together. Bumps of extra bone called bone spurs may grow in the joint area. There is no cure for osteoarthritis. It usually gets worse slowly. But theres a lot you can do to manage the symptoms.","Osteoarthritis affects people in different ways, and not everyone has pain. The most common symptoms are: • Pain when you move, which often gets better with rest • Stiffness, especially for the first 30 minutes after you get up from resting • Swollen joints, especially after using the joint a lot • Less movement in the joint than normal • A joint that feels loose or unstable",Researchers arent sure what causes osteoarthritis. They think that it could be caused by a combination of factors in the body and the environment. Your chance of developing osteoarthritis increases with age. They also know that some people are more likely to develop it than others.,"The goal of treating osteoarthritis is to ease your pain, help you move better, and stop it from getting worse. Treatment usually begins with: • Exercises to improve strength, flexibility and balance • Weight loss, if needed, to improve pain, especially in your hips or knees • Braces or shoe inserts (orthotics) that a health care provider fits for you You can buy somepain relieversand arthritis creams without a prescription. They can be helpful, but its best to talk to your provider about using them. If they dont help enough, your provider may prescribe injections (shots) into the joint or prescription pain relievers. Complementary therapiesmay help some people. Massage can increase blood flow and bring warmth to the area. Some research shows thatacupuncturemay help relieve osteoarthritis pain. Simple things like heat and ice can help, too. If none of these treatments help enough, surgery may be an option. You and your provider can decide if its right for you. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases","Treatment usually begins with: • Exercises to improve strength, flexibility and balance • Weight loss, if needed, to improve pain, especially in your hips or knees • Braces or shoe inserts (orthotics) that a health care provider fits for you You can buy somepain relieversand arthritis creams without a prescription. If they dont help enough, your provider may prescribe injections (shots) into the joint or prescription pain relievers.","There is no specific test for osteoarthritis. To find out if you have osteoarthritis, your provider: • Will ask about your symptoms and medical history • Will do a physical exam • May usex-raysor otherimaging teststo look at your joints • May order lab tests to make sure that a different problem isnt causing your symptoms",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/osteoarthritis.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Paralysis (brain hemorrhage),"A stroke happens when there is a loss of blood flow to part of the brain. Your brain cells cannot get the oxygen and nutrients they need from blood, and they start to die within a few minutes. This can cause lasting brain damage, long-term disability, or even death. If you think that you or someone else is having a stroke, call 911 right away. Immediate treatment may save someones life and increase the chances for successful rehabilitation and recovery. There are two types of stroke:","The symptoms of a stroke often happen quickly. They include: • Sudden numbness or weakness of the face, arm, or leg (especially on one side of the body) • Sudden confusion, trouble speaking, or understanding speech • Sudden trouble seeing in one or both eyes • Sudden difficulty walking, dizziness, loss of balance or coordination • Sudden severe headache with no known cause The F.A.S.T. test can help you remember what to look for if you think someone is having a stroke. Think FAST and look for: • Face drooping on one side when smiling. • Arm weakness occurs when the arms are raised, and one arm drifts downward. • Speech is slurred or strange. • Time to call 911. If you think that you or someone else is having a stroke, call 911 right away. Every minute counts during a stroke.",Information not available on MedlinePlus page.,"Treatments for stroke include medicines, surgery, and rehabilitation. Which treatments you get depend on the type of stroke and the stage of treatment. The different stages are: • Acute treatment, to try to stop a stroke while it is happening • Post-stroke rehabilitation, to overcome the disabilities caused by the stroke • Prevention, to prevent a first stroke or, if you have already had one, prevent another stroke Acute treatments for ischemic stroke are usually medicines: • You may get tPA, (tissue plasminogen activator), a medicine to dissolve the blood clot. You can only get this medicine within 4 hours of when your symptoms started. The sooner you can get it, the better your chance of recovery. • If you cannot get that medicine, you may get medicine that helps stop platelets from clumping together to form blood clots. Or you may get ablood thinnerto keep existing clots from getting bigger. • If you have carotid artery disease, you may also need a procedure to open your blocked carotid artery. Acute treatments for hemorrhagic stroke focus on stopping the bleeding. The first step is to find the cause of bleeding in the brain. The next step is to control it: • If high blood pressure is the cause of bleeding, you may be givenblood pressure medicines. • If ananeurysmis the cause, you may need aneurysm clipping or coil embolization. These are surgeries to prevent further leaking of blood from the aneurysm. It also can help prevent the aneurysm from bursting again. • If anarteriovenous malformation(AVM) is the cause of a stroke, you may need an AVM repair. An AVM is a tangle of faulty arteries and veins that can rupture within the brain. An AVM repair may be done through • Surgery • Injecting a substance into the blood vessels of the AVM to block blood flow • Radiation to shrink the blood vessels of the AVM Stroke rehabilitationcan help you relearn skills you lost because of the damage. The goal is to help you become as independent as possible and to have the best possible quality of life. Prevention of another stroke is also important, since having a stroke increases the risk of getting another one. Prevention may include heart-healthy lifestyle changes and medicines.","Treatments for stroke include medicines, surgery, and rehabilitation. The different stages are: • Acute treatment, to try to stop a stroke while it is happening • Post-stroke rehabilitation, to overcome the disabilities caused by the stroke • Prevention, to prevent a first stroke or, if you have already had one, prevent another stroke Acute treatments for ischemic stroke are usually medicines: • You may get tPA, (tissue plasminogen activator), a medicine to dissolve the blood clot. You can only get this medicine within 4 hours of when your symptoms started.","To make a diagnosis, your health care provider will • Ask about your symptoms and medical history • Do a physical exam, including a check ofYour mental alertnessYour coordination and balanceAny numbness or weakness in your face, arms, and legsAny trouble speaking and seeing clearly • Your mental alertness • Your coordination and balance • Any numbness or weakness in your face, arms, and legs • Any trouble speaking and seeing clearly • Run some tests, which may includeDiagnostic imagingof the brain, such as aCT scanorMRI.Heart tests, which can help detect heart problems or blood clots that may have led to a stroke. Possible tests include anelectrocardiogram(EKG) and an echocardiography. • Diagnostic imagingof the brain, such as aCT scanorMRI. • Heart tests, which can help detect heart problems or blood clots that may have led to a stroke. Possible tests include anelectrocardiogram(EKG) and an echocardiography.","If you have already had a stroke or are at risk of having a stroke, you can make someheart-healthy lifestyle changesto try to prevent a future stroke: • Eating a heart-healthy diet • Aiming for a healthy weight • Managingstress • Getting regularphysical activity • Quitting smoking • Managing yourblood pressureandcholesterol levels If these changes arent enough, you may need medicine to control your risk factors. NIH: National Institute of Neurological Disorders and Stroke",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/stroke.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Peptic ulcer diseae,"A peptic ulcer is a sore in the lining of your stomach or your duodenum, the first part of your small intestine. A burning stomach pain is the most common symptom. The pain: Peptic ulcers happen when the acids that help you digest food damage the walls of the stomach or duodenum. The most common cause is infection with a bacterium calledHelicobacter pylori. Another cause is the long-term use of nonsteroidal anti-inflammatory medicines (NSAIDs) such as aspirin and ibuprofen. Stress and spicy foods do not cause ulcers, but can make them worse. To see if you have an H. pylori infection, your doctor will test your blood, breath, or stool. Your doctor also may look inside your stomach and duodenum by doing anendoscopyor x-ray.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/pepticulcer.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Pneumonia,"Pneumonia is an infection in one or both of your lungs. It causes the air sacs of your lungs to fill up with fluid or pus. Pneumonia can range from mild to severe, depending on what caused it, your age, and your overall health. Bacterial,viral, andfungalinfections can cause pneumonia. Bacteriaare the most common cause. Bacterial pneumonia can occur on its own. It can also develop after youve had certain viral infections such as acoldor theflu. Several different types of bacteria can cause pneumonia, including:","The symptoms of pneumonia can range from mild to severe and include: • Fever • Chills • Cough, usually with phlegm (a type of thick mucus made in your lungs) • Shortness of breath • Chest painwhen you breathe or cough • Nausea and/or vomiting • Diarrhea The symptoms can vary for different groups. Newborns and infants may not show any signs of the infection. Others may vomit and have a fever and cough. They might seem sick, with no energy, or be restless. Older adults and people who have serious illnesses or weak immune systems may have fewer and milder symptoms. They may even have a lower-than-normal temperature. Older adults who have pneumonia sometimes may feel weak or suddenly get confused.","Bacterial,viral, andfungalinfections can cause pneumonia. Bacteriaare the most common cause. Bacterial pneumonia can occur on its own. It can also develop after youve had certain viral infections such as acoldor theflu. Several different types of bacteria can cause pneumonia, including: • Streptococcus pneumoniae • Legionella pneumophila; this type of pneumonia is often calledLegionnaires disease • Mycoplasma pneumoniae • Chlamydia pneumoniae • Haemophilus influenzaetype b (Hib) Virusesthat infect the respiratory tract may cause pneumonia. Viral pneumonia is often mild and goes away on its own within a few weeks. But sometimes it is serious enough that you need to get treatment in a hospital. If you have viral pneumonia, you are at risk of also getting bacterial pneumonia. The different viruses that can cause pneumonia include: • Respiratory syncytial virus(RSV) • Some commoncoldandfluviruses • SARS-CoV-2, the virus that causesCOVID-19 Fungalpneumonia is more common in people who have chronic health problems orweakened immune systems. Some of the types include: • Pneumocystispneumonia(PCP) • Valley fever(Coccidioidomycosis) • Histoplasmosis • Cryptococcal pneumonia Aspiration can also cause pneumonia. It can happen when you aspirate (accidentally breathe in) food or fluid into the lungs. If you are not able to cough out the food or fluid, it may cause an infection. Sometimes pneumonia can cause serious complications such as: • Bacteremia, which happens when the bacteria move into the bloodstream. It is serious and can lead toseptic shock. • Lungabscesses, which are collections of pus in cavities of the lungs. • Pleural disorders, which are conditions that affect the pleura. The pleura is the tissue that covers the outside of the lungs and lines the inside of your chest cavity. • Kidney failure. • Respiratory failure.","Treatment for pneumonia depends on the type of pneumonia, which germ is causing it, and how severe it is: • Antibioticstreat bacterial pneumonia and some types of fungal pneumonia. They do not work for viral pneumonia. • In some cases, your provider may prescribe antiviral medicines for viral pneumonia. • Antifungal medicines treat other types of fungal pneumonia. You may need to be treated in a hospital if your symptoms are severe or if you are at risk for complications. While there, you may get additional treatments. For example, if your blood oxygen level is low, you may receiveoxygen therapy. It may take time to recover from pneumonia. Some people feel better within a week. For other people, it can take a month or more.","Treatment for pneumonia depends on the type of pneumonia, which germ is causing it, and how severe it is: • Antibioticstreat bacterial pneumonia and some types of fungal pneumonia. • In some cases, your provider may prescribe antiviral medicines for viral pneumonia. • Antifungal medicines treat other types of fungal pneumonia.","Sometimes pneumonia can be hard to diagnose. This is because it can cause some of the same symptoms as a cold or the flu. It may take time for you to realize that you have a more serious condition. To find out if you have pneumonia, your health care provider: • Will take your medical history, which includes asking about your symptoms • Will do a physical exam, which includes listening to your lungs with a stethoscope • May order various tests, such as:A chestx-rayBlood tests such as acomplete blood count(CBC) to see if your immune system is actively fighting an infectionAblood cultureto find out whether you have a bacterial infection that has spread to your bloodstream • A chestx-ray • Blood tests such as acomplete blood count(CBC) to see if your immune system is actively fighting an infection • Ablood cultureto find out whether you have a bacterial infection that has spread to your bloodstream If you are in the hospital, have serious symptoms, are older, or have other health problems, you may also have more tests, such as: • Sputum test, which checks for bacteria in a sample of your sputum (mucus that is brought up from the lungs by coughing). • ChestCT scanto see how much of your lungs are affected. It may also show if you have complications such as lung abscesses or pleural effusions (a buildup of fluid in the pleural space). • Pleural fluid culture, which checks for bacteria in a fluid sample that was taken from the pleural space. • Pulse oximetry orblood oxygen level test,to check how much oxygen is in your blood. • Bronchoscopy, a procedure used to look inside your lungs airways.","Vaccines can help prevent pneumonia caused by pneumococcal bacteria or theflu virus.Washing your hands often, not smoking, and having ahealthy lifestylemay also help prevent pneumonia. NIH: National Heart, Lung, and Blood Institute",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/pneumonia.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Psoriasis,"Psoriasis is a skin disease that causes itchy or sore patches of thick, red skin with silvery scales. You usually get the patches on your elbows, knees, scalp, back, face, palms and feet, but they can show up on other parts of your body. Some people who have psoriasis also get a form of arthritis calledpsoriatic arthritis. A problem with your immune system causes psoriasis. In a process called cell turnover, skin cells that grow deep in your skin rise to the surface. Normally, this takes a month. In psoriasis, it happens in just days because your cells rise too fast. Psoriasis can be hard to diagnose because it can look like other skin diseases. Your doctor might need to look at a small skin sample under a microscope.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/psoriasis.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Tuberculosis,"Tuberculosis (TB) is abacterial diseasethat usually attacks the lungs. But it can also attack other parts of the body, including the kidneys, spine, and brain. Not everyone infected with TB bacteria (germs) becomes sick. So, there are two types of TB conditions: TB is found in the U.S., but it is more common in certain other countries.","Most people who have TB germs in their bodies dont get sick with TB disease. Instead, they have inactive TB infection. With an inactive TB infection, you: • Dont have symptoms • Cant spread TB to others • Could get sick with active TB disease in the future if your immune system becomes weak for another reason • Need to take medicine to prevent getting sick with active TB disease in the future If you have TB disease, the TB germs are active, meaning that they are growing (multiplying) inside your body and making you sick. If the TB is growing in your lungs or throat, you can spread the TB germs to other people. You can get sick with TB disease weeks to years after youre infected with TB germs. With TB disease, your symptoms will depend on where the TB is growing in your body: • General symptoms may include:Chills andfeverNight sweats (heavy sweating during sleep)Losing weight without tryingLoss of appetiteWeakness orfatigue • Chills andfever • Night sweats (heavy sweating during sleep) • Losing weight without trying • Loss of appetite • Weakness orfatigue • Symptoms from TB disease in your lungs may include:Acoughthat lasts longer than 3 weeksCoughing up blood or sputum (a thick mucus from the lungs)Chest pain • Acoughthat lasts longer than 3 weeks • Coughing up blood or sputum (a thick mucus from the lungs) • Chest pain","TB is caused by bacteria (germs) calledMycobacterium tuberculosis. The germs spread from person to person through the air. People who have TB disease in their throat or lungs spread the germs in the air when they cough, sneeze, talk, or sing. If you breathe in the air that has the germs, you can get TB. TB is not spread by touching, kissing, or sharing food or dishes. Youre more likely to catch TB from people you live or work with than from people you see for shorter amounts of time.","The treatment for both inactive TB infection and TB disease is antibiotics. To make sure you get rid of all the TB germs in your body, its very important to follow the directions for taking your medicine. If you dont follow the directions, the TB germs in your body could change and becomeantibiotic resistant. That means the medicine may stop working and your TB may become hard to cure. • For inactive TB infections, you need to take medicines for three, four, six, or nine months, depending on the treatment plan. Treatment helps make sure you dont get TB disease in the future. • For active TB disease, you usually need to take medicines for four, six, or nine months, depending on the treatment plan. Treatment will almost always cure you if you take your pills the right way. • For TB disease in your lungs or throat, youll need to stay home for a few weeks, so you dont spread disease to other people. You can protect the people you live with by:Covering your nose and mouth.Opening windows when possible.Not getting too close to them. • Covering your nose and mouth. • Opening windows when possible. • Not getting too close to them. • For drug-resistant TB disease,which means that the TB germs are resistant to certain TB medicines, you will need to take special medicines. Treatment may take a long time, sometimes months or years. The medicines can causeside effects. Your provider will closely monitor your treatment to make sure the medicines are working. By following medical advice for TB testing and treatment, you can keep yourself healthy and help stop the spread of TB. Centers for Disease Control and Prevention","The treatment for both inactive TB infection and TB disease is antibiotics. To make sure you get rid of all the TB germs in your body, its very important to follow the directions for taking your medicine. If you dont follow the directions, the TB germs in your body could change and becomeantibiotic resistant.","Your health care provider or your local health department can test you to find out if you have TB germs in your body. They will give you either aTB skin or blood test. If your test shows that you have TB germs, youll need to have other tests to see if the germs are actively growing: • Tests for TB disease in the lungsusually includetesting samples of your sputumand having chestx-rays. • Tests for TB disease in other parts of your bodymay include tests ofurineandtissue samples. You may need a TB test if you have symptoms of TB disease or if you are at high risk because you are more likely to be near someone with TB disease. People who have HIV also need to get tested for TB. HIV weakens your immune system. So if you have both HIV and inactive TB, the TB can quickly become active TB disease. You will need treatment for the inactive TB as soon as possible to prevent active TB disease.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/tuberculosis.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Typhoid,Unable to retrieve information from MedlinePlus.,Information not available.,Information not available.,Information not available.,Consult a healthcare professional for medication recommendations.,Information not available.,Information not available.,Information not available.,Information not available.,https://medlineplus.gov/typhoidfever.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Urinary tract infection,"The urinary system is the bodys drainage system for removing wastes and extra water. It includes two kidneys, two ureters, a bladder, and a urethra. Urinary tract infections (UTIs) are the second most common type of infection in the body. You may have a UTI if you notice: People of any age or sex can get UTIs. But about four times as many women get UTIs as men. Youre also at higher risk if you have diabetes, need a tube to drain your bladder, or have a spinal cord injury.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/urinarytractinfections.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
